"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/next.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/package-lock.json", "JSON", 0, 8490, 0, 0, 0, 0, 0, 0, 0, 1, 8491
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/package.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 74
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/public/placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/public/placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/styles/globals.css", "PostCSS", 0, 0, 0, 0, 0, 90, 0, 0, 0, 5, 95
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/tailwind.config.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 2, 97
"/Users/lucaspohl/Documents/Effektiv Media/Projekt/open-marketplace/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 869, 8736, 27, 18, 13793, 180, 2, 4, 258, 1414, 25301
